run_id,adapter,baseline_adapter,status,final_equity,baseline_equity,equity_diff,return_diff_pct,fill_count_diff,notes
alpaca_crypto_btc_sma_cross_4_12,reference_bar,reference_bar,baseline,100025.6152756356,100025.6152756356,0.0,0.0,0,"partial volume-limited fill at 2024-01-01T12:00:00+00:00: requested 0.01000000, filled 0.00042350 | partial volume-limited fill at 2024-01-01T13:00:00+00:00: requested 0.00957650, filled 0.00013733"
alpaca_crypto_btc_sma_cross_4_12,backtrader,reference_bar,match,100025.61527563559,100025.6152756356,-1.4551915228366852e-11,-2.220446049250313e-14,0,Backtrader volume filler enabled with FixedSize(size=None)
alpaca_crypto_btc_sma_cross_4_12,vectorbt,reference_bar,match,100025.6152756356,100025.6152756356,0.0,0.0,0,"partial volume-limited fill at 2024-01-01T12:00:00+00:00: requested 0.01000000, filled 0.00042350 | partial volume-limited fill at 2024-01-01T13:00:00+00:00: requested 0.00957650, filled 0.00013733"
alpaca_crypto_btc_sma_cross_4_12,pybroker,reference_bar,match,100025.6152756356,100025.6152756356,0.0,0.0,0,"partial volume-limited fill at 2024-01-01T12:00:00+00:00: requested 0.01000000, filled 0.00042350 | partial volume-limited fill at 2024-01-01T13:00:00+00:00: requested 0.00957650, filled 0.00013733"
alpaca_crypto_btc_sma_cross_4_12,lean,reference_bar,unavailable,100000,100025.6152756356,-25.615275635602302,-0.025615275635604284,-4,"UNAVAILABLE: LEAN adapter slot is present, but v1 has not generated a LEAN algorithm project/config from AdapterContext yet | LEAN is still a first-wave target because it has the strongest all-around broker/order model surface. | Next implementation step: generate a minimal C#/Python LEAN algorithm that reads canonical CSV bars and emits normalized fills."
sim_daily_breakout_6,reference_bar,reference_bar,baseline,100000.0,100000.0,0.0,0.0,0,
sim_daily_breakout_6,backtrader,reference_bar,match,100000.0,100000.0,0.0,0.0,0,Backtrader volume filler enabled with FixedSize(size=None)
sim_daily_breakout_6,vectorbt,reference_bar,match,100000.0,100000.0,0.0,0.0,0,
sim_daily_breakout_6,pybroker,reference_bar,match,100000.0,100000.0,0.0,0.0,0,
sim_daily_breakout_6,lean,reference_bar,unavailable,100000,100000.0,0.0,0.0,0,"UNAVAILABLE: LEAN adapter slot is present, but v1 has not generated a LEAN algorithm project/config from AdapterContext yet | LEAN is still a first-wave target because it has the strongest all-around broker/order model surface. | Next implementation step: generate a minimal C#/Python LEAN algorithm that reads canonical CSV bars and emits normalized fills."
sim_daily_buy_hold,reference_bar,reference_bar,baseline,99818.5688006,99818.5688006,0.0,0.0,0,
sim_daily_buy_hold,backtrader,reference_bar,match,99818.5688006,99818.5688006,0.0,0.0,0,Backtrader volume filler enabled with FixedSize(size=None)
sim_daily_buy_hold,vectorbt,reference_bar,match,99818.5688006,99818.5688006,0.0,0.0,0,
sim_daily_buy_hold,pybroker,reference_bar,match,99818.5688006,99818.5688006,0.0,0.0,0,
sim_daily_buy_hold,lean,reference_bar,unavailable,100000,99818.5688006,181.4311994000018,0.18143119940000618,-1,"UNAVAILABLE: LEAN adapter slot is present, but v1 has not generated a LEAN algorithm project/config from AdapterContext yet | LEAN is still a first-wave target because it has the strongest all-around broker/order model surface. | Next implementation step: generate a minimal C#/Python LEAN algorithm that reads canonical CSV bars and emits normalized fills."
sim_daily_sma_cross_3_8,reference_bar,reference_bar,baseline,100000.0,100000.0,0.0,0.0,0,
sim_daily_sma_cross_3_8,backtrader,reference_bar,match,100000.0,100000.0,0.0,0.0,0,Backtrader volume filler enabled with FixedSize(size=None)
sim_daily_sma_cross_3_8,vectorbt,reference_bar,match,100000.0,100000.0,0.0,0.0,0,
sim_daily_sma_cross_3_8,pybroker,reference_bar,match,100000.0,100000.0,0.0,0.0,0,
sim_daily_sma_cross_3_8,lean,reference_bar,unavailable,100000,100000.0,0.0,0.0,0,"UNAVAILABLE: LEAN adapter slot is present, but v1 has not generated a LEAN algorithm project/config from AdapterContext yet | LEAN is still a first-wave target because it has the strongest all-around broker/order model surface. | Next implementation step: generate a minimal C#/Python LEAN algorithm that reads canonical CSV bars and emits normalized fills."
sim_edge_buy_hold,reference_bar,reference_bar,baseline,94941.9982999,94941.9982999,0.0,0.0,0,zero-volume bar for SIM at 2024-01-03T14:31:00+00:00 | deferred fill on zero-volume bar at 2024-01-03T14:31:00+00:00
sim_edge_buy_hold,backtrader,reference_bar,match,94941.99829989999,94941.9982999,-1.4551915228366852e-11,-2.3092638912203256e-14,0,zero-volume bar for SIM at 2024-01-03T14:31:00+00:00 | Backtrader volume filler enabled with FixedSize(size=None)
sim_edge_buy_hold,vectorbt,reference_bar,match,94941.9982999,94941.9982999,0.0,0.0,0,zero-volume bar for SIM at 2024-01-03T14:31:00+00:00 | deferred fill on zero-volume bar at 2024-01-03T14:31:00+00:00
sim_edge_buy_hold,pybroker,reference_bar,match,94941.9982999,94941.9982999,0.0,0.0,0,zero-volume bar for SIM at 2024-01-03T14:31:00+00:00 | deferred fill on zero-volume bar at 2024-01-03T14:31:00+00:00
sim_edge_buy_hold,lean,reference_bar,unavailable,100000,94941.9982999,5058.001700099994,5.0580017000999895,-1,"zero-volume bar for SIM at 2024-01-03T14:31:00+00:00 | UNAVAILABLE: LEAN adapter slot is present, but v1 has not generated a LEAN algorithm project/config from AdapterContext yet | LEAN is still a first-wave target because it has the strongest all-around broker/order model surface."
