timestamp,symbol,open,high,low,close,volume,scenario
2024-01-02T14:30:00Z,SIM,100.0,100.089007,99.92,100.009,12000,regime_shift_1m
2024-01-02T14:31:00Z,SIM,100.009,100.114115,99.927035,100.032131,12350,regime_shift_1m
2024-01-02T14:32:00Z,SIM,100.032131,100.152481,99.948229,100.068548,12700,regime_shift_1m
2024-01-02T14:33:00Z,SIM,100.068548,100.202449,99.982775,100.116635,13050,regime_shift_1m
2024-01-02T14:34:00Z,SIM,100.116635,100.261747,100.029097,100.174158,13400,regime_shift_1m
2024-01-02T14:35:00Z,SIM,100.174158,100.32768,100.084996,100.238461,13750,regime_shift_1m
2024-01-02T14:36:00Z,SIM,100.238461,100.397378,100.147851,100.306706,14100,regime_shift_1m
2024-01-02T14:37:00Z,SIM,100.306706,100.468033,100.214855,100.376118,14450,regime_shift_1m
2024-01-02T14:38:00Z,SIM,100.376118,100.537137,100.28326,100.444216,14800,regime_shift_1m
2024-01-02T14:39:00Z,SIM,100.444216,100.602669,100.350607,100.508999,15150,regime_shift_1m
2024-01-02T14:40:00Z,SIM,100.508999,100.663224,100.414912,100.56908,15500,regime_shift_1m
2024-01-02T14:41:00Z,SIM,100.56908,100.718074,100.474796,100.62374,15850,regime_shift_1m
2024-01-02T14:42:00Z,SIM,100.62374,100.767149,100.529547,100.672911,16200,regime_shift_1m
2024-01-02T14:43:00Z,SIM,100.672911,100.810941,100.579094,100.717083,16550,regime_shift_1m
2024-01-02T14:44:00Z,SIM,100.717083,100.850353,100.623917,100.75715,16900,regime_shift_1m
2024-01-02T14:45:00Z,SIM,100.75715,100.8865,100.664896,100.794212,17250,regime_shift_1m
2024-01-02T14:46:00Z,SIM,100.794212,100.920499,100.703111,100.829366,17600,regime_shift_1m
2024-01-02T14:47:00Z,SIM,100.829366,100.953255,100.739633,100.863493,17950,regime_shift_1m
2024-01-02T14:48:00Z,SIM,100.863493,100.985295,100.775316,100.897089,18300,regime_shift_1m
2024-01-02T14:49:00Z,SIM,100.897089,101.016636,100.810622,100.930141,18650,regime_shift_1m
2024-01-02T14:50:00Z,SIM,100.930141,101.046738,100.845502,100.962072,12000,regime_shift_1m
2024-01-02T14:51:00Z,SIM,100.962072,101.074517,100.879344,100.991764,12350,regime_shift_1m
2024-01-02T14:52:00Z,SIM,100.991764,101.09848,100.910953,101.017648,12700,regime_shift_1m
2024-01-02T14:53:00Z,SIM,101.017648,101.120691,100.934839,101.037865,13050,regime_shift_1m
2024-01-02T14:54:00Z,SIM,101.037865,101.135245,100.953103,101.050472,13400,regime_shift_1m
2024-01-02T14:55:00Z,SIM,101.050472,101.140299,100.963842,101.053666,13750,regime_shift_1m
2024-01-02T14:56:00Z,SIM,101.053666,101.142039,100.957651,101.046017,14100,regime_shift_1m
2024-01-02T14:57:00Z,SIM,101.046017,101.135969,100.936734,101.026668,14450,regime_shift_1m
2024-01-02T14:58:00Z,SIM,101.026668,101.118003,100.904179,100.995485,14800,regime_shift_1m
2024-01-02T14:59:00Z,SIM,100.995485,101.087977,100.860686,100.953138,15150,regime_shift_1m
2024-01-02T15:00:00Z,SIM,100.953138,101.046537,100.807755,100.901106,15500,regime_shift_1m
2024-01-02T15:01:00Z,SIM,100.901106,100.995145,100.747609,100.841594,15850,regime_shift_1m
2024-01-02T15:02:00Z,SIM,100.841594,100.935995,100.683044,100.777385,16200,regime_shift_1m
2024-01-02T15:03:00Z,SIM,100.777385,100.871864,100.617211,100.711628,16550,regime_shift_1m
2024-01-02T15:04:00Z,SIM,100.711628,100.8059,100.553376,100.647589,16900,regime_shift_1m
2024-01-02T15:05:00Z,SIM,100.647589,100.741377,100.494658,100.588391,17250,regime_shift_1m
2024-01-02T15:06:00Z,SIM,100.588391,100.681431,100.443786,100.536778,17600,regime_shift_1m
2024-01-02T15:07:00Z,SIM,100.536778,100.628821,100.402899,100.494903,17950,regime_shift_1m
2024-01-02T15:08:00Z,SIM,100.494903,100.585722,100.373401,100.464192,18300,regime_shift_1m
2024-01-02T15:09:00Z,SIM,100.464192,100.553586,100.355892,100.445269,18650,regime_shift_1m
2024-01-02T15:10:00Z,SIM,100.445269,100.533065,100.350176,100.437966,12000,regime_shift_1m
2024-01-02T15:11:00Z,SIM,100.437966,100.52747,100.351908,100.44141,12350,regime_shift_1m
2024-01-02T15:12:00Z,SIM,100.44141,100.53839,100.357198,100.454167,12700,regime_shift_1m
2024-01-02T15:13:00Z,SIM,100.454167,100.556759,100.371872,100.474447,13050,regime_shift_1m
2024-01-02T15:14:00Z,SIM,100.474447,100.580757,100.394032,100.500322,13400,regime_shift_1m
2024-01-02T15:15:00Z,SIM,100.500322,100.612382,100.41792,100.529956,13750,regime_shift_1m
2024-01-02T15:16:00Z,SIM,100.529956,100.646183,100.445602,100.561802,14100,regime_shift_1m
2024-01-02T15:17:00Z,SIM,100.561802,100.68102,100.475575,100.594764,14450,regime_shift_1m
2024-01-02T15:18:00Z,SIM,100.594764,100.716298,100.506778,100.628283,14800,regime_shift_1m
2024-01-02T15:19:00Z,SIM,100.628283,100.751984,100.53869,100.662361,15150,regime_shift_1m
2024-01-02T15:20:00Z,SIM,100.662361,100.788555,100.571345,100.697507,15500,regime_shift_1m
2024-01-02T15:21:00Z,SIM,100.697507,100.826875,100.605279,100.734613,15850,regime_shift_1m
2024-01-02T15:22:00Z,SIM,100.734613,100.868024,100.641409,100.774782,16200,regime_shift_1m
2024-01-02T15:23:00Z,SIM,100.774782,100.913091,100.680855,100.819123,16550,regime_shift_1m
2024-01-02T15:24:00Z,SIM,100.819123,100.962961,100.72474,100.868532,16900,regime_shift_1m
2024-01-02T15:25:00Z,SIM,100.868532,101.018119,100.773967,100.923503,17250,regime_shift_1m
2024-01-02T15:26:00Z,SIM,100.923503,101.078495,100.829035,100.98397,17600,regime_shift_1m
2024-01-02T15:27:00Z,SIM,100.98397,101.14337,100.889873,101.049212,17950,regime_shift_1m
2024-01-02T15:28:00Z,SIM,101.049212,101.211354,100.955753,101.117831,18300,regime_shift_1m
2024-01-02T15:29:00Z,SIM,101.117831,101.280439,101.025266,101.187809,18650,regime_shift_1m
2024-01-02T15:30:00Z,SIM,101.187809,101.348129,101.096376,101.256633,12000,regime_shift_1m
2024-01-02T15:31:00Z,SIM,101.256633,101.41163,101.166547,101.321487,12350,regime_shift_1m
2024-01-02T15:32:00Z,SIM,101.321487,101.46808,101.232939,101.379482,12700,regime_shift_1m
2024-01-02T15:33:00Z,SIM,101.379482,101.514803,101.292634,101.427913,13050,regime_shift_1m
2024-01-02T15:34:00Z,SIM,101.427913,101.549552,101.342891,101.464499,13400,regime_shift_1m
